PlayerName,CurrentTime,Latitude,Longitude,Altitude,Azimuth,BatteryLevel,CurrentState,MissionId,MissionStatus,arrivalDateTime,action,priority,packageWeight
DRO001A,08:25:01,350.1,206.2,6.87,180,88.44,DeliverPackage,87adbc5c-0c21-45a9-b957-cca6150c26a2,InProgress,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:06,159.1,259.1,21.5,270,68.48,Land,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:06,350.1,206.2,6.22,180,88.12,DeliverPackage,87adbc5c-0c21-45a9-b957-cca6150c26a2,InProgress,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO001A,08:25:08,350.1,206.2,6.22,180,88.12,TakeOff,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:11,159.1,259.1,9.02,270,67.76,Land,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:13,350.1,206.2,24.67,156.5,87.52,TakeOff,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:16,159.1,259.1,7.34,270,67.05,DeliverPackage,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:18,350.1,206.2,70.44,156.37,86.97,TakeOff,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:21,159.1,259.1,7.32,270,67,DeliverPackage,f366b621-e37f-4f59-8b11-b11e1e04fc11,InProgress,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO002B,08:25:21,159.1,259.1,7.32,270,67,TakeOff,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:23,347.58,207.31,79.81,156.37,86.5,MoveToCheckPoint,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:26,159.1,259.1,25.74,355.97,66.4,TakeOff,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:28,324.63,217.37,79.81,156.37,85.95,MoveToCheckPoint,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:31,159.1,259.1,72.11,356.65,65.83,TakeOff,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:33,277.89,237.9,79.81,156.37,85.4,ReturnToHub,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:36,159.97,259.05,89.79,356.65,65.38,MoveToCheckPoint,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:38,249.23,250.32,79.81,156.37,84.82,ReturnToHub,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:41,180.18,257.86,89.79,356.65,64.83,MoveToCheckPoint,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:43,250,250,64.1,307.45,84.36,Land,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:46,225.54,255.19,89.79,356.65,64.27,MoveToCheckPoint,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:48,250,250,30.17,309.98,83.78,Land,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:51,296.22,251.03,89.79,356.65,63.72,ReturnToHub,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:53,250,250,8.9,310,83.2,Land,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:25:56,376.19,246.44,89.79,356.65,63.15,ReturnToHub,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:25:58,250,250,0.23,310,82.62,Land,87adbc5c-0c21-45a9-b957-cca6150c26a2,PackageDelivered,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO001A,08:25:59,250,250,0.22,310,82.61,StandBy,87adbc5c-0c21-45a9-b957-cca6150c26a2,Completed,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:26:01,386.33,245.8,89.69,359.02,62.59,Land,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:26:04,250,250,0.22,310,82.6,StandBy,87adbc5c-0c21-45a9-b957-cca6150c26a2,Completed,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:26:06,386.3,245.8,62.57,176.71,62.11,Land,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:26:09,250,250,0.22,310,82.59,StandBy,87adbc5c-0c21-45a9-b957-cca6150c26a2,Completed,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:26:11,386.3,245.8,30,170,61.53,Land,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:26:14,250,250,0.22,310,82.58,StandBy,87adbc5c-0c21-45a9-b957-cca6150c26a2,Completed,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:26:16,386.3,245.8,10.04,170,60.96,Land,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:26:19,250,250,0.22,310,82.57,StandBy,87adbc5c-0c21-45a9-b957-cca6150c26a2,Completed,2025-03-11_08-23-20,PickAndDelivery,2,3.05
DRO002B,08:26:21,386.3,245.8,3.32,170,60.51,Land,f366b621-e37f-4f59-8b11-b11e1e04fc11,PackageDelivered,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO002B,08:26:22,386.3,245.8,3.32,170,60.51,StandBy,f366b621-e37f-4f59-8b11-b11e1e04fc11,Completed,2025-03-11_08-23-25,PickAndDelivery,1,4.17
DRO001A,08:26:24,250,250,0.22,310,82.56,StandBy,87adbc5c-0c21-45a9-b957-cca6150c26a2,Completed,2025-03-11_08-23-20,PickAndDelivery,2,3.05
